Doctor_Id,Name,Type,Phone,Address_Zip_Code,Address_State,Address_City,Address_Street
13278,Dr. Danielle Johnson,Neurologist,470-428-3286,30030,GA,Decatur,32181 Johnson Course Apt. 389
98696,Dr. Anthony Gonzalez,Ophthalmologist,404-804-7912,30030,GA,Decatur,79402 Peterson Drives Apt. 511
13905,Dr. Noah Howard,Pediatrician,470-438-9279,30303,GA,Atlanta,407 Teresa Lane Apt. 849
13478,Dr. Nicole Ward,Ophthalmologist,470-933-9928,30319,GA,Brookhaven,103 Galloway Walk
38893,Dr. Jesse Garcia,Urologist,678-206-3615,30080,GA,Smyrna,5255 Elizabeth Squares Apt. 928
54597,Dr. Jessica Martin,Neurologist,470-420-6514,30080,GA,Smyrna,8350 Lydia Valley Suite 641
22156,Dr. Jason Hahn,Endocrinologist,404-567-6635,30030,GA,Decatur,76724 John Points Suite 969
44671,Dr. Reginald Robinson,Cardiologist,770-749-3045,30319,GA,Brookhaven,710 Eric Estate
20328,Dr. Laura Henderson,Ophthalmologist,678-843-6925,30080,GA,Smyrna,6978 Maddox Wall
35203,Dr. Sherri Frazier,Pediatrician,404-877-4733,30319,GA,Brookhaven,845 Kelly Estate
