SSN,Name,Gender,Birthdate,Phone,Street,City,State,Zip_Code
652-55-8653,Kevin Lee,Male,12/5/2002,470-816-4632,0839 Samantha Oval Apt. 571,Brookhaven,GA,30319
809-37-6390,Dawn Martin,Female,12/27/1967,404-461-4166,537 Allen Turnpike Suite 631,Sandy Springs,GA,30328
555-78-7004,Jeffrey Torres,Male,2/2/1990,770-533-4912,954 Casey Forks,Marietta,GA,30060
313-18-8047,Jenny Sullivan,Female,4/26/1965,678-416-2815,73815 Nathan Lake Apt. 492,Smyrna,GA,30080
780-44-7465,Victoria Reynolds,Female,2/4/1937,770-434-7929,26597 Vernon Wells Suite 280,Brookhaven,GA,30319
862-95-7855,Tiffany Jones,Female,9/11/2006,770-421-9766,719 Sparks Dam Apt. 387,Decatur,GA,30030
122-57-6891,Vanessa Novak,Female,6/7/2006,678-777-3512,45610 Ford Fields,Decatur,GA,30030
285-45-2077,Diana Summers,Female,10/10/1938,470-614-6943,2473 Rodriguez Union,Atlanta,GA,30303
270-73-9362,Stephanie Flores,Female,5/9/1979,470-907-9692,2006 Rios Cape,Brookhaven,GA,30319
167-14-6665,Robert Allen,Male,5/10/1959,770-321-8546,3898 Cook Dale Suite 556,Atlanta,GA,30303
,,,YYYY/MM/DD,,,,,
